,ITEM,DesignItemId,Quantity,Designator,Value,Description,Footprint,Manufacturer,Manufacturer Part Number,#Column Name Error:' MANUFACTURER Lifecycle 1,#Column Name Error:' Supplier 1,#Column Name Error:' Supplier Part Number 1,Case/Package,Case/Packages,Max Power Dissipation,Res/ESR,Voltage Rating,Power Rating,Pins,LibRef,Max Operating Temperature,Min Operating Temperature,Tolerance,Frequency
,1,CMP-CAP-000141-6,1,C1,4.7µF,CAP CER 4.7uF 25V X7R 1206 SMD,CAPC3216X180N,Kemet,C1206C475K3RACAUTO,,,,1206,,,,25V,,2,CMP-CAP-000141-6,125°C,-55°C,10%,1kHz
,2,CMP-CAP-000067-15,10,"C2, C3, C4, C5, C6, C8, C9, C10, C11, C12",10µF,CAP CER 10uF 50V X7R 1210 SMD,CAPC3225X280N,AVX Corporation,12105C106K4Z2A,,,,1210,,,,50V,,2,CMP-CAP-000067-15,125°C,-55°C,10%,
,3,CMP-CAP-000033-13,14,"C14, C129, C164, C165, C183, C184, C220, C229, C249, C250, C256, C257, C274, C279",1nF,CAP CER 1nF 50V C0G 0603 SMD,CAPC1608X90N,Kemet,C0603C102J5GAC3190,,,,0603,,,,50V,,2,CMP-CAP-000033-13,125°C,-55°C,5%,
,4,CMP-CAP-000167-10,25,"C15, C408, C409, C410, C411, C412, C413, C414, C415, C416, C417, C418, C419, C420, C421, C422, C423, C424, C425, C426, C427, C428, C429, C430, C431",47µF,CAP CER 1210 C 47uF 6.3 VDC +125degC +/-10%,CAPC3225X280N,Kemet,C1210C476K9RAC7800,,,,1210,,,,6.3V,,2,CMP-CAP-000167-10,125°C,-55°C,10%,
,5,CMP-CAP-000198-1,1,C16,47µF,"CAP CERAMIC SMD 1210, 10V, 47 uF, ± 10 %, X7R, RoHS",CAPC3225X280N,TAIYO YUDEN,LMK325B7476KM-PR,,,,1210,,,,10V,,2,CMP-CAP-000198-1,125°C,-55°C,10%,
,6,CMP-CAP-000152-10,3,"C17, C44, C600",1µF,CAP CER 1uF 50V 08805 SMD,CAPC2012X145N,KEMET,C0805C105K5RACAUTO,,,,0805,,,,50V,,2,CMP-CAP-000152-10,125°C,-55°C,10%,1kHz
,7,CMP-CAP-000181-10,3,"C18, C45, C601",100nF,CAP CER 0.1uF 50V X7R 10% 0805 SMD,CAPC2012X145N,KEMET,C0805C105K5RACAUTO,,,,0805,,,,50V,,2,CMP-CAP-000181-10,125°C,-55°C,10%,1kHz
,8,CMP-CAP-000036-13,26,"C19, C29, C39, C49, C53, C68, C73, C80, C87, C153, C158, C198, C200, C204, C208, C215, C240, C246, C266, C271, C295, C297, C299, C300, C310, C315",1µF,CAP CER 1uF 25V X5R 0603 SMD,CAPC1608X90N,TDK Corporation,CGA3E3X5R1H105K080AB,,,,0603,,,,25V,,2,CMP-CAP-000036-13,85°C,-55°C,10%,
,9,CMP-CAP-000035-11,104,"C21, C36, C41, C47, C48, C51, C52, C54, C58, C59, C64, C66, C67, C69, C71, C72, C78, C79, C82, C84, C88, C93, C96, C99, C108, C119, C122, C130, C149, C150, C151, C155, C156, C157, C159, C161, C163, C167, C168, C169, C174, C175, C176, C177, C178, C180, C187, C188, C189, C196, C197, C202, C203, C205, C207, C211, C212, C214, C217, C219, C223, C224, C227, C232, C236, C238, C239, C244, C245, C247, C251, C255, C259, C262, C264, C265, C269, C270, C272, C275, C278, C280, C296, C301, C305, C510, C610, C700, C701, C702, C703, C704, C705, C707, C708, C709, C710, C711, C822, C832, C835, C837, C839, C841",100nF,CAP CER 100nF 50V X7R 0603 SMD,CAPC1608X90N,TDK Corporation,CGA3E2X7R1H104K080AA,,,,0603,,,,50V,,2,CMP-CAP-000035-11,125°C,-55°C,10%,
,10,CMP-CAP-000070-12,6,"C23, C24, C38, C101, C103, C116",22µF,CAP CER 22uF 25V X5R 0805 SMD,CAPC2012X145N,Murata Electronics,GRT21BR61E226ME13L,,,,0805,,,,25V,,2,CMP-CAP-000070-12,125°C,-55°C,20%,
